Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 3, estrofe 125, verso 4;Hum dos duros ministros rigurosos.;Hum dos duros ministros rigurosos:
Canto 3, estrofe 126, verso 1;Se ja nas brutas feras, cuja mente;Seja nas brutas feras, cuja mente
Canto 3, estrofe 126, verso 5;Com pequenas crianças vio a gente,;Com pequenas criaulas vio a gente,
Canto 3, estrofe 126, verso 7;Como co a mãy de Nino ja mostrârão,;Como co a mãy de Nino ja mostràrão,
Canto 3, estrofe 126, verso 8;E cos yrmãos que Roma edificàrão.;E cos yrmãos que Roma edificàram.
Canto 3, estrofe 127, verso 1;O tu que tẽs de humano o gesto & o peito;O tu que tẽs de humano o gesto & o peito,
Canto 3, estrofe 127, verso 3;Fraca & sem força, so por ter subjeito;Fraca & sem forla, so por ter subjeito
Canto 3, estrofe 127, verso 4;O coração, a quem soube vencella.);O coraçam, a quem soube vencella.)
Canto 3, estrofe 127, verso 5;A estas criançinhas tem respeito,;A estas criancinhas tem respeito,
Canto 3, estrofe 127, verso 6;Pois o não tẽs aa morte escura della,;Pois o nam tẽs aa morte escura della,
Canto 3, estrofe 127, verso 8;Pois te não moue a culpa que não tinha.;Pois te nam moue a culpa que nam tinha.
Canto 3, estrofe 128, verso 3;Sabe tambem dar vida com clemencia,;Sabe tambem das vida com clemencia,
Canto 3, estrofe 128, verso 4;A quem pera perdela não fez erro:;A quem pera perdella nam fez erro:
Canto 3, estrofe 128, verso 7;Na Scitia fria, ou la na Lybia ardente,;na Scitia fria, ou la na Lybia ardente,
Canto 3, estrofe 129, verso 1;Poem me onde se vse toda a feridade,;Poemme onde se vse toda a feridade,
Canto 3, estrofe 129, verso 4;Que entre peitos humanos não achey:;Que entre peitos humanos nam achey:
Canto 3, estrofe 129, verso 7;Estas reliquias suas que aqui viste,;Estas riliquias suas que aqui viste,
Canto 3, estrofe 129, verso 8;Que refrigerio sejão da mãy triste.;Que refrigerio sejam da mãy triste.
Canto 3, estrofe 130, verso 2;Mouido das palauras que o magoão:;Mouido das palauras que a magoão:
Canto 3, estrofe 130, verso 4;(Que desta sorte o quis) lhe não perdoão,;(Que desta sorte o quis) lhe nam perdoão,
Canto 3, estrofe 130, verso 7;Contra hũa dama, ô peitos carniceiros;Contra hũa dama, o peitos carniceiros
Canto 3, estrofe 130, verso 8;Feros vos amostrais, e cavalleiros?;Feros vos mostrais, & caualleiros.
Canto 3, estrofe 131, verso 2;Consolação extrema da mãy velha,;Consolaçam extrema da mãy velha,
Canto 3, estrofe 131, verso 4;Co serro o duro Pirro se aparelha:;Co ferro o duro Pirro se aparelha:
Canto 3, estrofe 132, verso 7;Se encarniçauão, feruidos & yrosos,;Se encarniçauam, feruidos & yrosos,
Canto 3, estrofe 132, verso 8;No foturo castigo não cuidosos.;No futuro castigo nam cuidosos.
Canto 3, estrofe 133, verso 1;Bem podêras, ô Sol, da vista destes;Bem podèras, ô Sol, da vida destes
Canto 3, estrofe 133, verso 5;Vos, ô concauos vales que podestes,;Vos, ô concauos valles que podestes,
Canto 3, estrofe 133, verso 6;A voz extrema ouuir da boca fria,;A voz extrema ouuir da boca fria
Canto 3, estrofe 133, verso 7;O nome do seu Pedro que lhe ouuistes,;O nome do seu Pedro que ouuistes,
Canto 3, estrofe 134, verso 3;Sendo das mãos laciuas mal tratada,;Sendo das mãos laciuas maltratada,
Canto 3, estrofe 135, verso 2;Longo tempo chorando memorarão,;Longo tempo chorando memoraram,
Canto 3, estrofe 135, verso 3;E por memoria eterna em fonte pura;E por memoria eterna em fonte pura.
Canto 3, estrofe 135, verso 4;As lagrimas choradas transformarão:;As lagrimas choradas transformaram:
Canto 3, estrofe 135, verso 5;O nome lhe poserão, que inda dura,;O nome lhe poseram, que inda dura,
Canto 3, estrofe 135, verso 6;Dos amores de Ines que ali passarão.;Dos amores de Ines que ali passaram.
Canto 3, estrofe 136, verso 2;Não visse Pedro das mortais feridas,;Nam visse Pedro das mortais feridas,
Canto 3, estrofe 136, verso 7;O concerto fizerão duro & injusto,;O concerto fizeram duro & injusto,
Canto 3, estrofe 137, verso 2;De latrocinios, mortes & adulterios,;De latrocintos, mortes & adulterios,
Canto 3, estrofe 137, verso 3;Fazer nos mãos cruezas, fero & yroso,;Fazer nos maos cruezas, fero & yroso,
Canto 3, estrofe 137, verso 4;Erão os seus mais certos refrigerios:;Eram os seus mais certos refrigerios:
Canto 3, estrofe 137, verso 5;As cidades guardando justiçoso,;As cidides guardando justiçoso,
Canto 3, estrofe 137, verso 8;Que o vagabundo Alcides, ou Theseu.;Que o vagabundo Altides, ou Theseu.
Canto 3, estrofe 138, verso 1;Do justo & duro Pedro nasce o brando;Do justo & duro Pedro nasceo brando
Canto 3, estrofe 138, verso 2;(Vede da natureza o desconcerto);(Vede da natureza o desconforto)
Canto 3, estrofe 138, verso 3;Remisso, & sem cuidado algum Fernando,;Remisso, & sem cuidado algum Fernando
Canto 3, estrofe 138, verso 4;Que todo o Reino pos em muito aperto,;Que todo o Reino pos em muito aperto
Canto 3, estrofe 138, verso 8;Que hum fraco Rei faz fraca a forte gente.;Qur hum fraco Rei faz fraca a forte gente
Canto 3, estrofe 139, verso 3;E casar se se co de enleuado,;E casarse com ella de enleuado,
Canto 3, estrofe 139, verso 5;Ou soy que o coração sogeito, & dado;Ou foy que o coraçam sogeito, & dado
Canto 3, estrofe 139, verso 8;Que hum baxo amor os fortes enfraquece.;Que hum baxo amor os forte enfraquece.
Canto 3, estrofe 140, verso 1;Do peccado tiuerão sempre a pena;Do peccado tiueram sempre a pena
Canto 3, estrofe 140, verso 3;Os que forão roubar a bella Elena,;Os que foram roubar a bella Elena,
Canto 3, estrofe 140, verso 7;De Benjamim? bem claro nolo insina,;De Benhamim? bem claro nolo onfina,
Canto 3, estrofe 140, verso 8;Por Sarra Faraô, Sychem por Dina.;Por Sarra Faraò, Sychem por Dina.
Canto 3, estrofe 141, verso 1;E pois se os peitos fortes enfraqueçe,;E pois se os peitos fortes enfraqueçe
Canto 3, estrofe 141, verso 3;Bem no filho de Almena se pareçe,;Bem no filho de Almena se pareçe.
Canto 3, estrofe 141, verso 8;Despois que hũa moça vil na Apulia viste:;Despois que hũa moça vil na Apulia viste.
Canto 3, estrofe 142, verso 1;Mas quem pode livrarse por ventura,;Mas quem pode liurarse por ventura,
Canto 3, estrofe 142, verso 2;Dos laços que amor arma brandamente;Dos laços que amor arma brandamednte
Canto 3, estrofe 142, verso 4;O ouro, & o alabastro transparente;O ouro, & o labastro transparente
Canto 3, estrofe 142, verso 5;Quem de hũa peregrina fermosura;Quem de hũa peregrina sermosura
Canto 3, estrofe 142, verso 7;Que o coração conuerte que tem preso,;Que o coraçam conuerte que tem preso,
Canto 3, estrofe 142, verso 8;Em pedra não: mas em desejo aceso.;Em pedra nam: mas em desejo aceso>
Canto 3, estrofe 143, verso 1;Quem vio hum olhar seguro, hum gesto brando,;Quem vio hum olhar seguro, hum gesto brando
Canto 3, estrofe 143, verso 3;Que em si estâ sempre as almas trãformãdo;Que em si està sempre as almas trãformãdo
Canto 3, estrofe 143, verso 5;Desculpado por certo estâ Fernando,;Desculpado por certo está Fernando,
Canto 3, estrofe 143, verso 6;Pera quem tem de amor experencia:;Pera quem tem de amor experiencia:
Canto 3, estrofe 143, verso 8;Por muyto mais culpado o julgaria.;Por muito mais culpado o julgaria.
Canto 4, estrofe 1, verso 1;DEspois de procello sa tempestade,;DEspois de procellosa tempestade,
Canto 4, estrofe 2, verso 3;Naquelles que tãbem se aproueitârão,;Naquelles que tambem se aproveitárão,
Canto 4, estrofe 2, verso 5;Despois de pouco tempo o alcançârão,;Despois de pouco tempo o alcançárão,
Canto 4, estrofe 3, verso 1;Ser isto ordenação dos ceos diuina,;Ser isto ordenaçam dos ceos diuina,
Canto 4, estrofe 3, verso 2;Por sinais muito claros se mostrou;Por finais muito claross se mostrou
Canto 4, estrofe 3, verso 3;Quando em Euora a voz de hũa minina,;Quando em Euora a voz de hũa minima,
Canto 4, estrofe 3, verso 6;No berço o corpo, e a voz aleuantou,;No berço o corpo, & a voz aleuantou,
Canto 4, estrofe 3, verso 7;Portugal, Portugal, alçando a mão;Portugal, Portugal, alçando a mão.
Canto 4, estrofe 4, verso 1;Alteradas então do Reino as gentes,;Alteradas entam do Reino as gentes,
Canto 4, estrofe 4, verso 3;Absolutas cruezas, & euidentes;Absolutas cruezas & euidentes
Canto 4, estrofe 4, verso 6;Do adultero Conde, e da Rainha,;Do adultero Conde, & da Rainha,
Canto 4, estrofe 5, verso 4;Que tudo o fogo erguido queima e corre:;Que tudo o fogo erguido queima & corre:
Canto 4, estrofe 5, verso 5;Quem como Astianas precipitado;QUem como Astianas precipitado
Canto 4, estrofe 5, verso 7;A quem ordẽs, nem aras, nem respeito,;A quem de ordẽs, nem aras, nem respeito,
Canto 4, estrofe 5, verso 8;Quem nu por ruas & em pedaços feito.;quem nu por ruas & em pedaços feito.
Canto 4, estrofe 6, verso 1;Podẽse por em longo esquecimento,;Podense por em longo esquecimento,
Canto 4, estrofe 6, verso 3;Feitas do feroz Mario, e do cruento;Feitas do feroz Mario, & do cruento
Canto 4, estrofe 6, verso 4;Syla, quando o contrario lhe fogio:;Syla, quando o contrarto lhe fogio:
Canto 4, estrofe 6, verso 5;Por isso Lianor, que o sentimento;Porisso Lianor, que o sentimento
Canto 4, estrofe 6, verso 7;Faz contra Lusitania vir Castella,;Faz contra Lusitanta vir Castella,
Canto 4, estrofe 7, verso 2;Co Castelhano està, que o Reino pede,;Co Castelhano está, que o Reino pede,
Canto 4, estrofe 7, verso 5;Com esta voz Castella aleuantada,;Com esta voz castella aleuantada,
Canto 4, estrofe 7, verso 6;Dizendo que esta filha ao pay sucede:;Dizendo que esta filha ao pay succede:
Canto 4, estrofe 7, verso 8;De varias regiões & varias terras.;De vartas regiões & varias terras.
Canto 4, estrofe 8, verso 1;Vem de toda a prouincia que de hum Brigo,;Vem de toda a prouincia que de hum brigo,
Canto 4, estrofe 8, verso 3;Das terras que Fernando, e que Rodrigo;Das terras que Fernando, & que Rodrigo
Canto 4, estrofe 8, verso 4;Ganharão do tirano e Mauro estado:;Ganháram do tirano & Mauro estado:
Canto 4, estrofe 8, verso 5;Não estimão das armas o perigo,;Nam estimão das armas o perigo,
Canto 4, estrofe 9, verso 2;Ainda confiados, se ajuntauão;Ainda confiados, se ajuntauam
Canto 4, estrofe 9, verso 4;Que do Goadalquibir as agoas lauão,;Que do Goadalquibir as agoas lauam
Canto 4, estrofe 9, verso 6;Que antigamente os Tirios habitauão:;Que antigamente os Tirios habitauam
Canto 4, estrofe 10, verso 1;Tambem vem la do Reino de Toledo,;Tambem vem la do Reuno de Toledo,
Canto 4, estrofe 10, verso 3;O Tejo em torno vay suaue e ledo,;O Tejo em torno vay suaue & ledo,
Canto 4, estrofe 10, verso 4;Que das serras de Conca vem manando:;Que das ferras de Conca vem manando:
Canto 4, estrofe 11, verso 1;Tambem mouem da guerra as negras furias,;Tambem mouem da guerra as negras furias
Canto 4, estrofe 11, verso 3;De polidas razões, e que as injurias;De polidas razões, & que as injurias
Canto 4, estrofe 11, verso 5;A terra de Guipuscua, & das Asturias;A terra de Guipiscua, & das Asturias
Canto 4, estrofe 12, verso 1;Ioane, a quem do peito o esforço creçe,;Ioanne, a quem do peito o esforço creçe,
Canto 4, estrofe 12, verso 5;E não porque conselho lhe faleçe,;E nam porque conselho lhe faleçe,
Canto 4, estrofe 12, verso 8;Que sempre ouue entre muitos diferenças.;Que sempre ouue entre muitos differenças.
Canto 4, estrofe 13, verso 1;Não falta com razões quem desconcerte,;Nam falta com razões quem desconserte,
Canto 4, estrofe 13, verso 2;Da opinião de todos, na vontade,;Da opiniam de todos, na vontade,
Canto 4, estrofe 13, verso 3;Em quem o esforço antigo se conuerte,;Em quem o esforço antigo se conuerte
Canto 4, estrofe 13, verso 6;Que a propria e natural fidelidade,;que a propria & natural fidelidade
Canto 4, estrofe 13, verso 8;Negarão (como Pedro) o Deos que tem.;Negaram (como Pedro) o Deos que tem.
Canto 4, estrofe 14, verso 2;No forte dom Nuno aluerez: mas antes;No forte dom Nuno aluarez: mas antes
Canto 4, estrofe 14, verso 3;Posto que em seus irmãos tão claro o visse,;Posto que em seus Irmãos tam claro o visse,
Canto 4, estrofe 14, verso 4;Reprouando as vontades incostantes:;Reprouando as vontades inconstantes:
Canto 4, estrofe 14, verso 5;A aquellas duuidosas gentes disse,;Aaquellas duuidosas gentes disse,
Canto 4, estrofe 14, verso 6;Com palauras mais duras que elegantes,;Com palauas mais duras que alegantes,
Canto 4, estrofe 14, verso 7;A mão na espada irado, & não facundo,;A mão na espada irado, & nam facundo,
Canto 4, estrofe 14, verso 8;Ameaçando a terra, o mar, e o mundo.;Ameaçando a terra, o mar, & o mundo.
Canto 4, estrofe 15, verso 1;Como da gente illustre Portuguesa,;Como da gente ollustre Portuguesa,
Canto 4, estrofe 15, verso 2;Ha de auer quem refuse o patrio Marte?;Ha de auer quem refise o patrio Marte?
Canto 4, estrofe 15, verso 6;Quem negue a Fe, o amor, o esforço e arte;Quem negue a Fe, o amor, o esforço & arte
Canto 4, estrofe 15, verso 7;De Portugues, e por nenhum respeito;De Portugues, & por nenhum respeito
Canto 4, estrofe 15, verso 8;O proprio Reino queira ver sogeito?;O proprio Reino queira ver sogeito.
Canto 4, estrofe 16, verso 1;Como, não fois vos inda os descendentes;Como, nam sois vos inda os descendentes
Canto 4, estrofe 16, verso 7;Que sete illustres Condes lhe trouxerão;Que sete illustres Condes lhe trouxeram
Canto 4, estrofe 16, verso 8;Presos, afora a presa que tiuerão?;Presos, afora a preda que tiueram?
Canto 4, estrofe 17, verso 1;Com quem forão contino sopeados;Com quem foram contino sopeados
Canto 4, estrofe 17, verso 4;se não cos vossos fortes pais & auôs?;Se nam cos vossos fortes oais & auôs?
Canto 4, estrofe 17, verso 7;Torne vos vossas forças o Rei nouo,;Torne vos vossas forças o Reino nouo,
Canto 4, estrofe 19, verso 3;Defenderey da força dura, e infesta;Defenderey da força dura, & infesta
Canto 4, estrofe 19, verso 4;A terra nunca de outrem sojugada,;Aterra nunca de outrem sojugada,
Canto 4, estrofe 19, verso 7;Vencerey (não so estes aduersarios:);Vencerey (nam so estes aduersarios.)
Canto 4, estrofe 20, verso 1;Bem como entre os mançebos recolhidos,;Bem como entre os mancebos recolhidos,
Canto 4, estrofe 20, verso 5;Cornelio moço os faz, que compelidos;Cronelio moço os faz, que compelidos
Canto 4, estrofe 20, verso 7;Armas, nam deixarão em quanto a vida;Armas, nam deixaràm em quanto a vida
Canto 4, estrofe 21, verso 2;Que com lhe ouuir as vltimas razões;Que com lhe ouuir as vltimas razões,
Canto 4, estrofe 21, verso 5;Nos animais caualgão de Neptuno,;Nos animais caualgam de Neptuno,
Canto 4, estrofe 21, verso 6;Brandindo, & volteando arremessões.;Brandindo & Volteando arremessões,
Canto 4, estrofe 21, verso 7;Vão correndo et gritando a boca aberta,;Vão correndo & gritando a boca aberta,
Canto 4, estrofe 22, verso 1;Das gentes populares, hũs aprouão;Das gentes populares, hũs aprouam
Canto 4, estrofe 22, verso 3;Hũs as armas alimpão & renouão,;Hũs as armas alimpão & renouam,
Canto 4, estrofe 23, verso 7;Orientais exercitos, sem conto.;Orientais exercitos, sem conto
Canto 4, estrofe 23, verso 8;Com que passaua Xerxes o Helesponto.;Com que passaua Xerces o Helesponto.
Canto 4, estrofe 24, verso 1;Dom Nuno Alueres digo, verdadeiro;Dom Nuno Aluarez digo, verdadeiro
Canto 4, estrofe 24, verso 2;Açoute de soberbos Castelhanos,;Açoute de soberdos Castelhanos,
Canto 4, estrofe 24, verso 3;Como ja o fero Huno o foy primeiro;Como ja o forte Huno o foy primeiro
Canto 4, estrofe 24, verso 6;Que a ala dereita tem dos Lusitanos,;Que a ela dereita tem dos Lusitanos,
Canto 4, estrofe 24, verso 8;Men Rodriguez se diz de Vasconcelos.;Men Rodrigues se diz de Vasconcelos.
Canto 4, estrofe 25, verso 2;Antão vazquez de Almada he Capitão,;Antão vasques de Almada he Capitão,
Canto 4, estrofe 25, verso 4;Das gentes vay regendo a sestra mão,;Das gentes vay regendo a regendo a sestra mão,
Canto 4, estrofe 26, verso 1;Estauão pelos muros temerosas,;Estauam pelos muros temerosas,
Canto 4, estrofe 26, verso 3;Rezando as mais, irmãs, damas, & esposas;Rezando as mãis, irmãs, damas, & esposas
Canto 4, estrofe 26, verso 5;Ia chegāo as esquadras bellicosas,;Ia chegam as esquadras bellicosas,
Canto 4, estrofe 26, verso 8;E todas grande duuida concebem.;E todas grande duuida concebem
Canto 4, estrofe 27, verso 3;Alferezes volteão as bandeiras,;Alferezes volteam as bandeiras
Canto 4, estrofe 28, verso 1;Deu sinal a trombeta Castelhana,;Deu sinala trombeta Castelhana,
Canto 4, estrofe 28, verso 2;Horrendo, fero, ingente, e temeroso,;Horrendo, fero, ingente, & temeroso
Canto 4, estrofe 28, verso 3;Ouuio o o monte Artabro, e Guadiana,;Ouuio o o monte Artabro, & Guadiana,
Canto 4, estrofe 28, verso 5;Ouuio o Douro, & a terra Transtagana,;Ouuio o Douro, & a terra transtagana,
Canto 4, estrofe 28, verso 7;E as mãis que o som terribil escuitârão,;E as mãis que o som terribil escuitàrão,
Canto 4, estrofe 28, verso 8;Aos peitos os filhinhos apertârão.;Aos peitos os filhinhos apertàrão.
Canto 4, estrofe 29, verso 1;Quantos rostos ali se vem sem cor,;Quantos rostos ali se vem sem cor
Canto 4, estrofe 29, verso 2;Que ao coração acode o sangue amigo,;Que ao coraçam acode o sangue amigo,
Canto 4, estrofe 29, verso 5;E se o não he, pareçeo, que o furor;E se o não he, pareceo, que o furor
Canto 4, estrofe 29, verso 6;De offender, ou vencero duro immigo,;De offender, ou vencer o duro immigo,
Canto 4, estrofe 29, verso 7;Faz não sentir, que he perda grande & rara;Faz não sentir, que he perda grãde & rara
Canto 4, estrofe 30, verso 7;Derriba, & encontra, & a terra ẽ fim semea;Derriba, & encõtra, & a terra ẽ fim semea
Canto 4, estrofe 30, verso 8;Dos que a tanto desejão, sendo alhea.;Dos que a tanto desejam, sendo alhea.
Canto 4, estrofe 31, verso 1;Ia pelo espesso ar, os estridentes;la pelo espesso ar, os estridentes
Canto 4, estrofe 31, verso 3;Debaxo dos pês duros dos ardentes;Debaxo dos pés duros dos ardentes
Canto 4, estrofe 31, verso 4;Cauallos, treme a terra, os vales soão:;Cauallos, treme a tetra, os vales soão:
Canto 4, estrofe 31, verso 7;Recreçem os immigos sobre a pouca;Recreçem os inmigos sobre a pouca
Canto 4, estrofe 31, verso 8;Gente, do fero Nuno que os apouca.;Gente, do fero Neno que os apouca.
